Time,T107_C_Avg,SHF_Avg,PSPWatt_UP_Avg,PIRWatt_UP_Avg,PSPWatt_DOWN_Avg,PIRWatt_DOWN_Avg
01/10 06:29:19,15.619333333333337,13.531333333333334,8.962233333333334,374.2233333333332,1.7497,375.35
01/10 06:59:18,15.641333333333328,12.240000000000002,48.85333333333334,375.1066666666667,10.608833333333335,377.6
01/10 07:29:18,15.681999999999995,10.491666666666665,85.27366666666667,380.59333333333325,19.72266666666667,383.3800000000001
01/10 07:59:18,15.780333333333335,5.354966666666667,196.78666666666666,393.87666666666667,56.762666666666654,396.9166666666667
01/10 08:29:18,15.97,-0.7217,303.0566666666666,406.6466666666667,66.914,412.4233333333334
01/10 08:59:18,16.19433333333333,-4.527633333333333,437.37000000000006,421.0033333333333,80.02933333333334,429.45000000000005
01/10 09:29:18,16.444,-8.2643,504.8933333333334,439.82,88.10666666666665,447.2966666666667
01/10 09:59:18,16.714333333333332,-12.707333333333333,537.2766666666666,450.10999999999996,92.63333333333331,457.1633333333333
01/10 10:29:17,17.023333333333333,-28.48433333333333,563.4600000000002,457.8233333333333,96.95666666666665,463.4199999999999
01/10 10:59:17,17.47566666666667,-53.24133333333332,655.8199999999999,461.4933333333333,101.25333333333334,466.1433333333334
01/10 11:29:17,18.141333333333332,-54.573333333333345,695.4366666666665,462.51333333333343,105.16666666666669,466.17333333333335
01/10 11:59:17,19.141000000000002,-57.28133333333333,755.9566666666666,467.6433333333334,102.89333333333333,469.8433333333334
01/10 12:29:17,19.670333333333335,-43.36666666666667,692.0766666666667,471.7866666666667,91.22600000000003,472.6666666666667
01/10 12:59:17,19.660000000000004,-21.455,621.4366666666667,468.5066666666666,87.66533333333334,468.7866666666667
01/10 13:29:16,19.47833333333333,-9.047633333333332,495.8766666666667,459.63000000000005,56.87266666666666,459.78000000000003
01/10 13:59:16,19.351999999999997,-4.610666666666668,531.5966666666667,462.55,77.10133333333334,461.11
01/10 14:29:16,19.248333333333342,-1.4298000000000002,435.9,456.37333333333333,65.11066666666666,454.84000000000003
01/10 14:59:16,19.12966666666667,1.7620000000000002,361.4266666666667,446.3766666666666,50.46633333333332,444.7300000000001
01/10 15:29:16,19.000999999999998,4.429466666666667,203.71999999999997,437.9733333333334,11.871333333333334,437.85
01/10 15:59:16,18.830666666666662,7.565033333333333,72.75966666666666,428.7966666666668,10.509333333333332,428.83333333333337
01/10 16:29:16,18.646333333333327,9.927666666666665,44.71166666666668,419.2866666666667,5.663566666666666,419.9066666666667
01/10 16:59:15,18.449,12.534333333333333,5.374899999999999,409.2166666666666,0.13006666666666666,410.71666666666664
01/10 17:29:15,18.253333333333334,13.693666666666667,0.0,402.4533333333333,0.0,404.02666666666676
01/10 17:59:15,18.099666666666664,12.584,0.0,398.9499999999999,3.3333333333333335e-05,400.07666666666665
01/10 18:29:15,18.024333333333328,9.081333333333335,0.00013333333333333334,398.3233333333332,0.03666666666666665,399.0833333333334
01/10 18:59:15,17.992000000000008,7.7269999999999985,0.0002,398.2699999999999,0.041933333333333316,398.98999999999995
01/10 19:29:15,17.959,7.8050333333333315,0.0,397.62000000000006,6.666666666666667e-05,398.2533333333333
01/10 19:59:15,17.912333333333336,8.341333333333335,0.0,396.50333333333344,0.0006333333333333334,397.09666666666664
01/10 20:29:14,17.858666666666675,8.592,0.0,395.56666666666666,0.0011333333333333334,396.14000000000004
01/10 20:59:14,17.755,13.127,0.0,392.61666666666673,0.0,393.72333333333324
01/10 21:29:14,17.666666666666682,10.045333333333334,0.0015,391.5633333333333,0.23063333333333333,393.03666666666663
01/10 21:59:14,17.645999999999997,8.674666666666667,0.04386666666666667,392.59999999999997,0.2775333333333333,393.8433333333333
01/10 22:29:14,17.592,11.298333333333336,0.0,392.2566666666668,0.02966666666666667,393.06666666666666
01/10 22:59:14,17.467333333333332,14.348666666666665,0.0,389.43,0.0038,390.6900000000001
01/10 23:29:13,17.36,14.486666666666666,0.0,387.5633333333333,0.007666666666666668,389.00999999999993
01/10 23:59:13,17.268666666666665,13.897333333333334,0.011000000000000001,386.36000000000007,0.0593,387.8966666666667
01/11 00:29:13,17.240000000000006,10.777000000000003,0.05273333333333333,387.37666666666667,0.46509999999999996,388.83666666666676
01/11 00:59:13,17.194333333333336,14.042666666666667,0.0,386.77666666666664,0.13906666666666673,388.04333333333335
